date,year,type,country,state,activity,sex,age,injury,species,source
2022-03-15,2022,Unprovoked,Australia,New South Wales,Board activities/sports,M,32,Lacerations and punctures to leg and foot,Bull Shark,"S. De Marchi, GSAF"
2022-03-15,2022,Unprovoked,Australia,New South Wales,Swimming activities/sports,M,,,Other,"S. De Marchi, GSAF"
2022-03-13,2022,Unprovoked,Usa,Florida,Board activities/sports,M,20,Bite to right foot,Other,"R. Babington, GSAF"
2022-03-09,2022,Provoked,Usa,Florida,Other,M,21,Minor injuries to knee and calf of left leg                            PROVOKED INCIDENT                 ,Black Shark,"ClickOrlando, 3/11/20212"
2022-03-08,2022,Unprovoked,Australia,New South Wales,Board activities/sports,M,,"No injury, board bitten",Other,"UPI, 3/8/2022"
2022-02-26,2022,Unprovoked,Usa,California,Board activities/sports,M,42,FATAL,White Shark,"R. Collier, GSAF"
2022-02-21,2022,Unconfirmed,Bahamas,Grand  Bahama Island,Swimming activities/sports,M,51,Arm bitten,Other,"M. Michaelson, GSAF"
2022-02-17,2022,Unprovoked,Australia,Queensland,Other,M,,Lacerations to left thigh,Tiger Shark,"j. Marchand, GSAF"
2022-02-16,2022,Unprovoked,Australia,New South Wales,Swimming activities/sports,M,36,FATAL,Other,"7News,2/16/2022"
2022-02-12,2022,Unprovoked,Mexico,Sonora,Board activities/sports,M,56,FATAL,Other,"K. McMurray, TrackingSharks.com"
2022-02-11,2022,Unprovoked,Usa,Florida,Board activities/sports,M,18,Puncture wounds to foot,Other,"Fox 35 Orlando, 2/11/2022"
2022-02-10,2022,Provoked,Bahamas,,Other,F,37,Minor injury,Other,"K. McMurray, TrackingSharks.com"
2022-02-08,2022,,Costa Rica,Guanacoste,Swimming activities/sports,F,50,Right forearm and left hand injured,Bull Shark,Diario Extra Del Costa Rica 2/9/2022
2022-02-05,2022,Unprovoked,Australia,Western Australia,Playing or floating in the water,F,20,Torso bitten,White Shark,"K. McMurray, TrackingSharks.com"
2022-01-24,2022,Unprovoked,Australia,New South Wales,Swimming activities/sports,M,M,Foot bitten,Other,"K. McMurray, TrackingSharks.com"
2022-01-22,2022,Unprovoked,Australia,Western Australia,Swimming activities/sports,M,,"Knees, ankles & feet bitten",Other,"K. McMurray, TrackingSharks.com"
2022-01-09,2022,Provoked,South Africa,KwaZulu-Natal,Fishing activities,M,,"PROVOKED INCIDENT               No injury to occupants, shark bit ski",Other,"National Sea Rescue Institute, 1/9/2022"
2022-01-09,2022,Unprovoked,New Zealand,South Island,Swimming activities/sports,F,13,Puncture wounds,Other,"Otago Daily Times, 1/9/2022"
